phrases_x,phrases_y,similarities
how company compares to its peers?,how company compares to its peers?,0.0
how company compares to its peers?,what is the detailed income statement breakdown of Axa?,1.333106
how company compares to its peers?,world premium penetration in 2020,1.6539644
how company compares to its peers?,How does the forecasted insurance premium penetration in country trend compare to its peers?,1.2016224
how company compares to its peers?,what are the total losses for companies in country  non life market?,1.2760417
how company compares to its peers?,Insurance premiums market in Country,1.9390664
how company compares to its peers?,"How have the profit margins been for the airlines industry through the years, by regions?",1.3005145
how company compares to its peers?,What is the complete profile of the top oil rigs?,1.38114
how company compares to its peers?,what is company general information?,1.2377305
how company compares to its peers?,How is the airline industry performing globally?,1.2972565
how company compares to its peers?,how does economic profit for in country compare to others?,1.1009009
how company compares to its peers?,most profitable insurance company India,1.5448406
how company compares to its peers?,Give me a detailed breakup of the income and expenses in South-East Asia,1.4766177
how company compares to its peers?,Show me all the oil rigs in the world,1.4428898
how company compares to its peers?,What were the premiums earned by the Indian insurance industry in 2020?,1.3995162
how company compares to its peers?,How much have premiums grown as compared to claims for India?,1.3292562
how company compares to its peers?,Which are the best performing insurance firms in India?,1.437519
how company compares to its peers?,What is the ROE of the Indian market?,1.4915177
how company compares to its peers?,What profits were clocked by Cholamandalam in 2020?,1.4420921
how company compares to its peers?,What is the premiums market share of the top 5 companies in India?,1.2416711
how company compares to its peers?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,1.3564072
how company compares to its peers?,Which are the main distribution channels in India?,1.5012983
how company compares to its peers?,What are the risks in the motor insurance segment in India?,1.3847399
how company compares to its peers?,What is the demand potential of India for insurance?,1.403647
how company compares to its peers?,How do premiums break down by lines of business in India?,1.4096167
how company compares to its peers?,What is the share price of Qantas?,1.3447373
how company compares to its peers?,How many passengers are carried in ?,1.4911613
how company compares to its peers?,Which are the aircrafts manufactured by Boeing?,1.6451237
how company compares to its peers?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.101404
how company compares to its peers?,Which are the top airports?,1.6924872
how company compares to its peers?,How many fatal air accidents till date?,1.7794188
how company compares to its peers?,What is the flow of air traffic in North America?,1.4602702
how company compares to its peers?,What is the fleet of Airbus?,1.4833168
how company compares to its peers?,Airlines profitability Brazil?,2.7310925
how company compares to its peers?,Mergers among airline companies?,2.2017787
how company compares to its peers?,Which are the most profitable airports?,1.5922613
how company compares to its peers?,What has the capacity movement of airline companies been over the years?,1.2874115
how company compares to its peers?,Details of the Aban Abraham oil rig?,1.8515913
how company compares to its peers?,How big is the airlines industry in China?,1.3495877
how company compares to its peers?,How much money did Lloyd's of London make last year?,1.4527504
how company compares to its peers?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.3797181
how company compares to its peers?,Which Lloyd's syndicates owns the maximum number of assets?,1.5421191
how company compares to its peers?,List key performance indicators for AXA?,1.7343173
how company compares to its peers?,What are the most prominent legal cases?,1.5536622
how company compares to its peers?,How does oil industry perform in Brazil?,1.3514484
how company compares to its peers?,What is the main driver of growth in automobile industry in Europe?,1.3543735
how company compares to its peers?,Which country in Europe is going to grow the most in 2020?,1.3559566
how company compares to its peers?,What are the biggest acquisitions in 2020?,1.4554999
how company compares to its peers?,How impacted is the airline industry in 2020?,1.2601024
how company compares to its peers?,What are the most prominent bankruptcies in 2020?,1.5344033
what is the detailed income statement breakdown of Axa?,how company compares to its peers?,1.333106
what is the detailed income statement breakdown of Axa?,what is the detailed income statement breakdown of Axa?,0.0
what is the detailed income statement breakdown of Axa?,world premium penetration in 2020,1.5864531
what is the detailed income statement breakdown of Axa?,How does the forecasted insurance premium penetration in country trend compare to its peers?,1.1551648
what is the detailed income statement breakdown of Axa?,what are the total losses for companies in country  non life market?,1.0304785
what is the detailed income statement breakdown of Axa?,Insurance premiums market in Country,1.7505134
what is the detailed income statement breakdown of Axa?,"How have the profit margins been for the airlines industry through the years, by regions?",1.1353143
what is the detailed income statement breakdown of Axa?,What is the complete profile of the top oil rigs?,1.0547148
what is the detailed income statement breakdown of Axa?,what is company general information?,1.0509458
what is the detailed income statement breakdown of Axa?,How is the airline industry performing globally?,1.2922665
what is the detailed income statement breakdown of Axa?,how does economic profit for in country compare to others?,1.0591929
what is the detailed income statement breakdown of Axa?,most profitable insurance company India,1.5001911
what is the detailed income statement breakdown of Axa?,Give me a detailed breakup of the income and expenses in South-East Asia,0.92725325
what is the detailed income statement breakdown of Axa?,Show me all the oil rigs in the world,1.2842814
what is the detailed income statement breakdown of Axa?,What were the premiums earned by the Indian insurance industry in 2020?,1.1455837
what is the detailed income statement breakdown of Axa?,How much have premiums grown as compared to claims for India?,1.2205399
what is the detailed income statement breakdown of Axa?,Which are the best performing insurance firms in India?,1.214538
what is the detailed income statement breakdown of Axa?,What is the ROE of the Indian market?,1.2348762
what is the detailed income statement breakdown of Axa?,What profits were clocked by Cholamandalam in 2020?,1.2438698
what is the detailed income statement breakdown of Axa?,What is the premiums market share of the top 5 companies in India?,1.0462778
what is the detailed income statement breakdown of Axa?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,1.1462212
what is the detailed income statement breakdown of Axa?,Which are the main distribution channels in India?,1.2174016
what is the detailed income statement breakdown of Axa?,What are the risks in the motor insurance segment in India?,1.0555573
what is the detailed income statement breakdown of Axa?,What is the demand potential of India for insurance?,1.1366143
